AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,LANTITUDE,LONGTUDE,DESC,SOURCE,PRECISION,URL,FORM,TYPE,SCHOOL,TIMELINE,Genre
Gustave Caillebotte,(b. 1848  Paris  d. 1894  Gennevilliers),Paris Street  Rainy Day (detail),1877,Oil on canvas,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/c/caillebo/04rainy1.jpg,painting,landscape,French,1851-1900,Impressionism
Gustave Caillebotte,(b. 1848  Paris  d. 1894  Gennevilliers),Paris Street  Rainy Day (detail),1877,Oil on canvas,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/c/caillebo/04rainy2.jpg,painting,landscape,French,1851-1900,Impressionism
Claude Monet,(b. 1840  Paris  d. 1926  Giverny),Gare Saint-Lazare: the Train from Normandy,1877,Oil on canvas  60 x 80 cm,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/m/monet/04/lazare1.jpg,painting,landscape,French,1851-1900,Impressionism
Eva Gonzalès,(b. 1849  Paris  d. 1883  Paris),The Milliner,1877,Gouache and pastel on canvas  45 x 37 cm,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/g/gonzales/milliner.jpg,painting,portrait,French,1851-1900,Impressionism
Edouard Manet,(b. 1832  Paris  d. 1883  Paris),Man in a Round Hat (Alphonse Maureau),1878,Pastel on paper  55 x 45 cm,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/m/manet/4/4manet12.jpg,painting,portrait,French,1851-1900,Impressionism
Camille Pissarro,(b. 1830  St Thomas  Virgin Islands  d. 1903  Paris),Rabbit Warren at Pontoise  Snow,1879,Oil on canvas  59 x 72 cm,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/p/pissarro/camille/3/winter16.jpg,painting,landscape,French,1851-1900,Impressionism
Pierre-Auguste Renoir,(b  1841  Limoges  d. 1919  Cagnes-sur-Mer),Acrobats at the Cirque Fernando,1879,Oil on canvas  132 x 100 cm,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/r/renoir/2/2renoi30.jpg,painting,genre,French,1851-1900,Impressionism
Pierre-Auguste Renoir,(b  1841  Limoges  d. 1919  Cagnes-sur-Mer),Near the Lake,1880,Oil on canvas  48 x 56 cm,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/r/renoir/3/3renoi03.jpg,painting,landscape,French,1851-1900,Impressionism
Pierre-Auguste Renoir,(b  1841  Limoges  d. 1919  Cagnes-sur-Mer),Two Sisters (On the Terrace),1881,Oil on canvas  100 x 80 cm,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/r/renoir/3/3renoi06.jpg,painting,genre,French,1851-1900,Impressionism
Gustave Caillebotte,(b. 1848  Paris  d. 1894  Gennevilliers),Farmhouse at Trouville,1882,Oil on canvas  54 x 65 cm,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/c/caillebo/12trouvi.jpg,painting,landscape,French,1851-1900,Impressionism
Edgar Degas,(b. 1834  Paris  d. 1917  Paris),The Millinery Shop,1882,Oil on canvas  100 x 109 cm,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/d/degas/4/1880s_05.jpg,painting,genre,French,1851-1900,Impressionism
Claude Monet,(b. 1840  Paris  d. 1926  Giverny),Clifftop Walk at Pourville,1882,Oil on canvas  67 x 82 cm,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/m/monet/06/2pourvi1.jpg,painting,landscape,French,1851-1900,Impressionism
Camille Pissarro,(b. 1830  St Thomas  Virgin Islands  d. 1903  Paris),Woman and Child at a Well,1882,Oil on canvas  81 x 65 cm,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/p/pissarro/camille/5/08figure.jpg,painting,genre,French,1851-1900,Impressionism
Claude Monet,(b. 1840  Paris  d. 1926  Giverny),Bordighera,1884,Oil on canvas  65 x 81 cm,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/m/monet/06/4bordig3.jpg,painting,landscape,French,1851-1900,Impressionism
William-Adolphe Bouguereau,(b. 1825  La Rochelle  d. 1905  La Rochelle),Bathers,1884,Oil on canvas  201 x 129 cm,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/b/bouguere/bathers.jpg,painting,other,French,1851-1900,Realism
Claude Monet,(b. 1840  Paris  d. 1926  Giverny),Boats on the Beach at Étretat,1885,Oil on canvas  66 x 81 cm,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/m/monet/06/3etreta8.jpg,painting,landscape,French,1851-1900,Impressionism
Vincent van Gogh,(b. 1853  Groot Zundert  d. 1890  Auvers-sur-Oise),Cottage with Woman Digging,1885,Oil on canvas on cardboard  31 x 42 cm,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/g/gogh_van/02/nuenen20.jpg,painting,landscape,Dutch,1851-1900,Impressionism
Vincent van Gogh,(b. 1853  Groot Zundert  d. 1890  Auvers-sur-Oise),Montmartre near the Upper Mill,1886,Oil on canvas  44 x 34 cm,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/g/gogh_van/06/paris07.jpg,painting,landscape,Dutch,1851-1900,Impressionism
Vincent van Gogh,(b. 1853  Groot Zundert  d. 1890  Auvers-sur-Oise),Fishing in Spring  Pont de Clichy,1887,Oil on canvas  49 x 58 cm,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/g/gogh_van/06/paris11.jpg,painting,landscape,Dutch,1851-1900,Impressionism
